#{"t_start": 1775311724.411631, "env_id": "None"}
r,l,t
25.957,8,18.670813
9.076,2,18.675946
6.3,20,18.720909
21.0625,6,18.738353
4.593333,2,18.743341
47.685333,10,18.765903
11.759333,10,18.78999
35.405944,17,18.82713
16.426833,4,18.839109
17.190526,13,18.867493
10.219167,9,18.888084
32.9025,11,18.914778
-7.69,3,18.922254
16.28,11,18.949608
22.21,4,18.958734
20.39,5,18.971012
30.22,12,19.000505
-7.03,1,19.004346
22.540667,9,19.02542
13.0,20,19.072342
10.000333,6,19.086877
-7.03,1,19.089542
-20.991974,20,19.136248
32.806667,10,19.162711
-7.03,1,19.165382
7.344778,18,19.208043
24.476,8,19.227228
18.908929,10,19.253412
5.87,9,19.273959
7.176667,3,19.281707
3.632857,5,19.292819
26.220357,8,19.311881
26.025,12,19.339736
26.654333,7,19.358282
12.576632,15,19.39408
14.17,5,19.405701
-25.314211,9,19.425951
0.078571,3,19.435694
31.422357,4,19.445396
6.785667,2,19.45278
39.587321,14,19.484817
20.068,9,19.506085
23.215,5,19.517992
17.246,7,19.535687
6.316667,5,19.547132
-1.025,4,19.558421
35.214167,15,19.591223
23.718889,19,19.634092
23.742632,11,19.66225
25.3,10,19.684931
11.368571,15,19.720132
32.566786,6,19.734721
-7.03,1,19.737609
16.2,8,19.755951
-20.289474,4,19.766978
-17.915263,2,19.771857
22.564211,9,19.792932
8.758929,6,19.806593
6.824643,12,19.833757
5.61,3,19.841339
14.5,4,19.851012
-66.762667,9,19.872697
30.684286,9,19.894547
23.422667,10,19.917046
5.124667,6,19.931175
20.72,4,19.94073
21.5255,6,19.954129
-20.874,8,19.97476
-7.36,2,19.979586
5.784286,3,19.986933
16.672632,7,20.005075
0.869778,16,20.042634
14.9635,8,20.059963
-16.912857,16,20.098849
-7.03,1,20.101513
5.892143,7,20.118223
-17.196833,9,20.139204
-14.204286,17,20.180293
22.640526,18,20.223379
20.950714,10,20.246543
10.203929,4,20.255778
17.582143,10,20.279797
22.079333,7,20.296074
-1.65,8,20.315207
-7.36,2,20.320782
17.150333,4,20.330279
24.351053,18,20.369437
46.336992,10,20.394173
-7.03,1,20.396819
-7.69,3,20.404665
-19.139315,5,20.416474
9.856667,3,20.423795
14.65,5,20.437561
-7.36,2,20.442323
8.917143,10,20.464622
-7.03,1,20.467203
-0.148929,6,20.482114
18.98,18,20.522792
4.998,6,20.536782
14.47,6,20.550174
32.191607,19,20.595385
19.507333,3,20.603055
14.31,5,20.61534
-49.818571,18,20.654595
1.171071,2,20.660165
22.372667,8,20.67717
24.293333,4,20.687979
31.25,15,21.423344
17.8855,6,21.437217
-41.95125,4,21.448864
23.98,9,21.469132
14.35875,15,21.504885
-4.634444,13,21.534901
42.4,10,21.557909
