time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
11264,8.82,11,34,28.33387577,322,0.0150377145,0.2,100,0.15166015625,-3.002659133076668,0.0003,67.44577026367188,203.35827498435975,0.15056908130645752,-0.030547857499914243,,
12288,8.78,12,38,26.365355079999993,322,0.015142055,0.2,110,0.1623046875,-2.9137380093336107,0.0003,44.04667282104492,119.6524269104004,0.3631178140640259,-0.031633648311253634,,
13312,7.81,13,41,31.42962622,322,0.018032031,0.2,120,0.2029296875,-2.920481188595295,0.0003,94.81344604492188,123.21973569393158,0.2929025888442993,-0.03554271908360533,,
14336,7.51,14,44,31.769614920000002,322,0.014532796,0.2,130,0.15732421875,-2.796087807416916,0.0003,58.34489440917969,114.65716216564178,0.3977230191230774,-0.031136048218468205,,
15000,,,,,,0.012372514,0.2,140,0.123046875,-2.697404865920544,0.0003,60.04584884643555,106.93470273017883,0.44100701808929443,-0.027356648171553387,17.0469463,5.2
15360,8.01,15,47,33.024920359999996,321,,,,,,,,,,,,
16384,7.51,16,50,33.350059290000004,322,0.014113249,0.2,150,0.16083984375,-2.6775397062301636,0.0003,40.579715728759766,93.72493026256561,0.4600512981414795,-0.02879458045354113,,
17408,6.98,17,54,34.544742549999995,322,0.012620223,0.2,160,0.14482421875,-2.6099866062402723,0.0003,67.73918151855469,100.68248872756958,0.4814314842224121,-0.03127876535872929,,
18432,7.44,18,57,36.08606407,322,0.0128703555,0.2,170,0.13486328125,-2.5556965455412866,0.0003,43.781700134277344,90.09829096794128,0.5427706241607666,-0.029004543292103335,,
19456,7.42,19,60,37.38991997,322,0.0133689055,0.2,180,0.144921875,-2.580933485925198,0.0003,55.422916412353516,83.98793897628784,0.5585825443267822,-0.027071971580153332,,
20000,,,,,,0.013984978,0.2,190,0.11025390625,-2.568758489191532,0.0003,33.65814971923828,77.67859351634979,0.5654655694961548,-0.022990025306353346,40.3944553,4.7
20480,7.54,20,63,38.312439489999996,321,,,,,,,,,,,,
21504,6.96,21,66,40.42412083,321,0.014967649,0.2,200,0.18017578125,-2.4701267763972283,0.0003,25.85882568359375,70.59233453273774,0.6043840050697327,-0.03255594053771347,,
22528,6.77,22,70,37.96374194,321,0.011378908,0.2,210,0.12607421875,-2.4210815712809564,0.0003,38.19740295410156,65.77137513160706,0.6364555358886719,-0.02659555745194666,,
23552,6.53,23,73,40.70987836,321,0.009371903,0.2,220,0.08603515625,-2.3660025388002395,0.0003,22.956899642944336,80.47721495628358,0.5825387239456177,-0.021847761841490863,,
24576,6.82,24,76,41.31373020000001,321,0.0110556,0.2,230,0.10439453125,-2.340527293086052,0.0003,32.85756301879883,72.09821207523346,0.6090898513793945,-0.027395234355935827,,
25000,,,,,,0.012545159,0.2,240,0.11787109375,-2.253420439362526,0.0003,23.48601722717285,67.5859317779541,0.6462339162826538,-0.0261012264265446,43.35133069999999,4.8
25600,6.84,25,79,40.50012297,321,,,,,,,,,,,,
26624,6.87,26,82,42.79085826000001,321,0.011422014,0.2,250,0.1359375,-2.268270321190357,0.0003,25.34840965270996,64.23174962997436,0.6910910606384277,-0.027268021082272755,,
27648,7.06,27,86,41.207419890000004,321,0.012953989,0.2,260,0.14716796875,-2.1947874993085863,0.0003,26.058244705200195,49.299855661392215,0.7381417751312256,-0.02864565636846237,,
28672,6.63,28,89,41.686117880000005,321,0.012262503,0.2,270,0.144140625,-2.1770936399698257,0.0003,62.35976028442383,82.69094817638397,0.6473137736320496,-0.03067194434115663,,
29696,6.55,29,92,42.79703283,321,0.010946318,0.2,280,0.12373046875,-2.123843625187874,0.0003,26.352407455444336,52.55778524875641,0.7338282465934753,-0.024460176122374833,,
30000,,,,,,0.012880692,0.2,290,0.1087890625,-2.0728049293160438,0.0003,15.553343772888184,50.48230166435242,0.7236731052398682,-0.02275578088592738,50.702880900000004,6.0
30720,6.73,30,95,42.305781829999994,320,,,,,,,,,,,,
31744,6.44,31,99,43.17210799,320,0.01234447,0.2,300,0.13642578125,-2.0066224932670593,0.0003,20.98560905456543,48.10868573188782,0.7662400007247925,-0.03145005030091852,,
32768,6.09,32,102,44.463304289999996,319,0.014931651,0.2,310,0.15859375,-1.9271076954901218,0.0003,33.802974700927734,55.560110533237456,0.7326364517211914,-0.033762164507061244,,
33792,6.22,33,105,43.67065027,319,0.012608467,0.2,320,0.1212890625,-1.8593292288482188,0.0003,18.002832412719727,43.44402899742126,0.7953152060508728,-0.028610518539790065,,
34816,6.29,34,108,45.81108424999999,319,0.014252691,0.2,330,0.12451171875,-1.8168598391115665,0.0003,16.778352737426758,33.84503830671311,0.8131474256515503,-0.024642010685056448,,
