#{"t_start": 1775311599.7773807, "env_id": "None"}
r,l,t
-3.147143,20,13.858421
1.37,19,13.895349
-71.496667,20,13.929381
10.055,17,13.959188
8.466667,20,13.997217
1.455,20,14.033612
12.745,20,14.0676
-5.7,20,14.105467
-5.338571,20,14.139586
15.075,20,14.174811
17.96,8,14.190623
9.3225,20,14.226412
7.1975,20,14.263
33.591667,10,14.27926
-68.277143,20,14.316815
-32.076333,20,14.351905
-207.595,18,14.385762
5.672857,20,14.423015
7.004,20,14.456326
10.74,20,14.495544
2.005333,20,14.532109
4.693684,16,14.560585
11.338333,20,14.600898
7.990714,20,14.63587
-10.867111,20,14.671578
9.097368,20,14.71066
-105.02,14,14.733265
-10.52,17,14.763628
-78.625,20,14.797052
-19.819286,20,14.834805
-64.46,20,14.86761
0.805333,20,14.901746
6.136,20,14.94069
15.04875,20,14.975085
5.849107,20,15.012427
-132.255,20,15.046071
23.416667,20,15.080775
10.54,6,15.090228
-11.08,20,15.127899
37.431667,12,15.148275
-53.6,20,15.183322
0.71,20,15.217438
27.261321,13,15.244515
-5.098333,20,15.278262
-20.695,20,15.312747
-4.662056,20,15.35088
3.305179,20,15.386838
-3.620254,20,15.42128
3.0505,5,15.436054
-14.106667,20,15.471297
8.3425,20,15.505324
14.532643,20,15.541938
20.365089,12,15.562666
-16.119833,20,15.600422
-2.865,20,15.636677
-40.543556,20,15.669343
-44.367889,20,15.703849
-109.583333,20,15.738756
12.808,2,15.74102
-59.797857,15,15.767638
-7.03,1,15.769579
-3.848,20,15.804476
-27.482778,20,15.84148
-16.666,20,15.874894
37.937368,7,15.888423
-14.33,20,15.92451
45.06125,12,15.94804
-75.356667,20,15.982835
30.56,9,15.997607
21.675,13,16.017164
37.624429,16,16.044627
-149.05375,20,16.079168
-16.573333,20,16.117554
4.835,20,16.155151
-84.9,20,16.192167
-48.5,20,16.254389
8.086667,7,16.268133
-7.03,1,16.269418
8.46,20,16.305621
-18.037368,20,16.339648
-45.551488,17,16.377174
0.405,20,16.412412
33.962857,12,16.433084
11.776071,20,16.471521
4.196429,20,16.508201
-15.9,20,16.54319
17.466429,14,16.56812
-60.688444,20,16.602441
-23.912966,20,16.635262
33.265,17,16.664026
21.171389,19,16.700016
6.23,20,16.735436
-8.820632,20,16.773523
19.487726,20,16.807897
14.895536,20,16.843732
-15.378,18,16.878222
13.963665,20,16.915993
23.096667,13,16.939033
4.7075,20,16.972399
13.34,7,16.987448
-43.996667,20,17.024596
3.9115,20,17.061781
-3.223571,20,17.09741
6.635,20,17.129323
15.9225,4,17.137074
12.737292,9,17.151155
-76.393333,20,17.188209
-7.36,2,17.190303
20.06375,20,17.22646
19.876607,19,17.262564
-180.456667,13,17.28241
-10.049842,12,17.306006
6.553571,13,17.330392
-40.942667,6,17.339236
-2.15,20,17.376359
13.700833,20,17.414103
38.22,5,17.423097
10.274,20,17.458875
-3.142321,20,17.497253
16.578333,20,17.53197
-26.398667,20,17.56531
-7.36,2,17.570256
-24.678526,20,17.608245
-80.8225,20,17.642589
-155.117857,20,17.676956
-7.03,1,17.678256
-35.17,17,17.711216
8.146667,5,17.723232
8.656893,16,17.754354
43.278889,13,17.77818
-11.5475,3,17.784998
20.680929,20,17.824602
-17.808,20,17.861537
-187.32,20,17.895931
-77.723333,20,17.932064
-49.5375,20,17.965606
-74.7975,20,18.000504
31.413333,14,18.026614
-37.872632,20,18.060288
-59.137857,8,18.074364
-113.932679,14,18.099745
0.938393,20,18.13922
-44.416667,20,18.175951
0.52,20,18.210316
-73.983333,16,18.241919
-2.333105,11,18.262461
5.28,4,18.270188
17.63,9,18.28884
7.868632,20,18.325171
15.130929,20,18.359419
10.817,20,18.395329
7.745833,20,18.430967
-25.092895,20,18.466447
32.02875,14,18.489607
-21.033333,20,18.527677
0.375,20,18.56443
-31.254737,20,18.601015
17.326833,4,18.6081
-64.032857,20,18.643078
9.107262,20,18.678958
7.38,20,18.712469
10.985,20,18.749726
-7.75,5,18.757513
-45.74,20,18.792024
-24.679929,20,18.826412
-55.4325,4,18.833469
8.146667,5,18.846072
-56.5275,13,18.868604
-0.87,20,18.903422
15.05625,20,18.938252
11.15,20,18.974384
33.578667,20,19.008671
4.618947,8,19.023387
-7.69,3,19.028749
9.37,19,19.062643
-10.743556,20,19.096956
-19.013158,20,19.131027
-111.123333,20,19.167956
-41.16,20,19.205777
8.378889,20,19.244225
0.231,20,19.28512
16.656667,17,19.320371
1.187857,20,19.359818
6.323158,12,19.379263
-22.329474,12,19.400422
-63.665,20,19.432099
-83.638947,20,19.470961
-7.095556,20,19.504533
0.962857,11,19.522416
10.513929,9,19.539859
-15.14,20,19.577776
6.2,8,19.5938
-1.713,20,19.631993
5.61,3,19.636147
-19.660526,7,19.649508
-13.392167,19,19.683869
5.891111,20,19.719531
15.252,20,19.755743
11.951167,15,19.785799
-3.606071,20,19.819243
9.135895,20,19.856405
-0.886222,20,19.892504
-2.785,20,19.929023
-37.011789,20,19.966498
-0.033333,20,20.007888
-30.064632,20,20.043283
-4.116526,20,20.080128
-7.826667,20,20.116229
-8.153333,20,20.154528
16.07,11,20.172158
-34.08,20,20.211768
15.432143,14,20.239673
10.235,20,20.278445
-14.935,20,20.317631
3.1,20,20.35369
-30.087368,20,20.392015
10.851071,7,20.407164
5.818667,20,20.444222
-17.686667,20,20.480843
6.075,20,20.517556
-38.893333,20,20.551316
-33.130789,20,20.59075
-40.736421,20,20.629084
-18.828789,20,20.665212
-56.86,20,20.705343
4.631579,20,20.743303
-20.781333,20,20.780513
-57.04,20,20.821872
-19.235833,20,20.860282
-65.048,18,20.890162
-22.569895,20,20.929586
-24.763158,20,20.967538
-87.045789,20,21.003773
-19.275833,13,21.027277
-29.594526,8,21.04444
-13.417778,20,21.081051
-20.563333,20,21.120055
5.622143,6,21.134008
-5.0,20,21.16948
-71.19375,20,21.207003
12.363786,20,21.246483
24.7,20,21.295295
-7.166667,20,21.376518
7.215,20,21.412678
-15.619474,20,21.453465
-12.511579,20,21.487191
-5.560368,20,21.521415
-49.071071,15,21.552181
-52.336,12,21.57476
-3.601786,20,21.611885
-9.01,7,21.622716
4.339316,20,21.661778
8.382789,6,21.674439
7.722167,20,21.712834
-14.726263,20,21.75121
-0.016667,7,21.766004
5.938,20,21.80203
-9.583333,20,21.841008
-18.905263,5,21.849098
-12.7,20,21.886298
5.346833,20,21.921324
13.51,7,21.93614
8.14,20,21.974811
8.74,20,22.012094
-160.24,20,22.050042
-17.54,20,22.087929
-16.549464,20,22.423189
4.73,20,22.461743
5.9025,20,22.498858
-0.413333,20,22.534126
10.280714,18,22.567233
0.0645,20,22.605093
10.164,20,22.642728
-8.9845,16,22.673496
-15.875556,20,22.709743
-23.47,20,22.746756
14.6175,20,22.786217
9.910786,20,22.82582
8.59,20,22.864748
6.093571,20,22.900915
-2.99,20,22.937248
-5.846667,20,22.973402
8.234,20,23.007779
22.274732,20,23.043113
11.544536,20,23.084749
5.679226,20,23.119507
6.389286,3,23.125247
-7.03,1,23.126503
-3.505333,14,23.154682
-7.03,1,23.156139
-4.233333,20,23.191792
-67.016786,20,23.227805
16.238929,20,23.264021
12.693,20,23.301656
-7.69,3,23.30771
20.365,14,23.332535
-50.960179,20,23.369902
-15.899474,12,23.393433
-27.081789,19,23.427851
-31.194167,20,23.462366
4.545,20,23.499332
2.920053,6,23.507755
19.063333,7,23.521454
0.624,20,23.559857
3.325,20,23.601362
4.916667,20,23.643102
-23.315368,2,23.648252
19.0,20,23.68497
-80.622143,19,23.720326
-16.297158,20,23.75447
27.047667,8,23.768095
0.386667,20,23.805904
-9.215,20,23.842369
35.500893,12,23.862297
4.841333,20,23.899966
-214.64875,20,23.938251
-3.342,20,23.973823
22.032857,20,24.011381
15.55994,20,24.048473
3.012,20,24.084318
3.426667,20,24.121097
-10.66,12,24.142291
-9.064286,20,24.177092
-7.69,3,24.182977
-24.875,20,24.222225
-68.083929,14,24.247866
13.347833,14,24.27285
33.43,13,24.294493
4.404,20,24.333251
4.69125,20,24.371635
-33.073684,5,24.383127
2.579167,20,24.418531
11.046429,20,24.455365
3.721053,20,24.49114
-18.357895,8,24.505718
3.989579,20,24.543176
-40.36,20,24.579225
-50.244167,20,24.611615
-39.65,20,24.651687
-12.21,20,24.688408
2.633333,20,24.726204
-15.875368,5,24.736682
-21.185833,20,24.77451
0.75,20,24.808792
-16.287526,20,24.845667
3.035536,20,24.880577
10.678036,20,24.915496
-59.055333,20,24.954533
-35.013496,20,24.993301
21.316667,20,25.033646
-1.36,20,25.069827
-8.581053,20,25.107088
-2.720357,20,25.143914
4.38875,20,25.180598
-35.057778,20,25.216463
13.935,20,25.255826
-25.363158,20,25.293062
-12.449643,20,25.329552
5.44,20,25.368354
-47.996667,20,25.405303
15.895071,20,25.443881
-5.915,20,25.480508
-33.027,20,25.517517
10.916964,20,25.559195
-150.05,20,25.597283
-10.956944,20,25.63813
-21.944444,20,25.678873
-7.6265,16,25.705744
-9.67,9,25.72126
-33.163158,20,25.765672
28.177768,4,25.773148
20.401071,13,25.797311
19.613333,5,25.808858
-9.37,20,25.847758
15.16,2,25.850902
15.597667,4,25.860907
-22.420526,19,25.901838
9.926,10,25.918766
2.343333,20,25.960187
-42.080089,10,25.980005
27.648036,16,26.010515
-44.13625,9,26.02632
1.756,20,26.06586
-20.088316,20,26.102841
-11.32,14,26.131725
8.18625,20,26.170898
-126.926667,20,26.209069
5.982333,4,26.217107
-20.289474,4,26.224819
-9.01,7,26.236048
12.5,20,26.276853
9.697321,5,26.289488
0.004,20,26.325931
21.714286,20,26.361147
-7.4,20,26.401486
-6.267895,19,26.433836
-20.593333,20,26.473615
-38.855368,20,26.509847
-5.151429,20,26.545496
-23.844333,20,26.584078
-10.381263,20,26.622216
-5.42,20,26.655951
-1.792167,20,26.694646
15.16,2,26.699944
-14.368929,20,26.736097
16.0875,20,26.7712
-3.606,20,26.809093
-6.146,20,26.84481
6.521399,20,26.884666
-35.193333,20,26.924066
20.562887,20,26.962369
28.387262,14,26.986772
-7.03,1,26.993567
-10.72,14,27.017085
23.65,15,27.047458
1.882778,20,27.082884
-24.245158,20,27.125468
11.793333,14,27.151308
16.569,20,27.186522
4.788833,20,27.224531
-0.425,20,27.263268
-39.0375,20,27.302359
-202.276667,20,27.340075
-82.746667,20,27.376459
-0.803368,18,27.414124
44.293571,12,27.435105
10.866667,20,27.470344
8.6735,20,27.504426
-10.547679,15,27.534493
-36.365526,20,27.568807
16.242667,20,27.605322
-81.75,20,27.643331
-79.48,20,27.681689
4.96375,20,27.720159
14.265,20,27.758806
6.589333,20,27.795822
6.555,18,27.830551
-9.73,11,27.852923
-7.03,1,27.854214
9.462,7,27.868095
7.525,20,27.907176
15.032667,20,27.946421
9.792,6,27.957124
15.198333,20,27.993759
5.500167,19,28.030596
6.8975,20,28.066112
-3.226667,17,28.098418
11.308036,20,28.135967
-21.073333,20,28.175925
8.716333,20,28.212402
4.3,20,28.2539
-39.016,20,28.293559
-23.292,20,28.334962
3.963333,13,28.363065
8.006667,20,28.400943
-15.839474,10,28.417495
0.88,20,28.458264
-5.962222,20,28.495442
16.128333,13,28.518991
-23.09,20,28.558747
-15.08725,20,28.597659
-99.655,20,28.635765
8.647321,10,28.657991
5.550667,20,28.693568
8.1875,20,28.731404
-75.5075,20,28.770403
3.592833,20,28.807896
-5.486667,20,28.847526
-1.6725,20,28.888047
-4.764,20,28.92648
7.016,20,28.968131
-28.762526,20,29.006502
-23.303684,20,29.045563
6.96,20,29.08758
13.653304,20,29.124182
-139.45625,20,29.166083
-10.043333,20,29.207294
-13.947263,20,29.24517
-10.99,13,29.271435
-2.262222,20,29.309741
17.225179,20,29.347145
34.477143,19,29.385885
-13.285,20,29.421738
-51.753333,20,29.45946
24.170982,20,29.501597
-34.14,20,29.538037
-6.091111,20,29.576123
10.422333,6,29.585129
-11.096339,20,29.623204
33.04,7,29.637462
-20.363333,20,29.676532
36.540833,16,29.705989
12.778393,20,29.745053
13.866607,20,29.784242
-138.22875,20,29.822686
-34.256667,20,29.861863
-0.14875,20,29.900825
30.523333,11,29.922132
6.051167,20,29.958204
-3.637143,18,29.991471
12.659857,20,30.029963
-67.985286,20,30.067571
8.405,14,30.097132
25.948,7,30.109293
-3.958929,20,30.148403
43.366,20,30.187105
5.15625,20,30.225276
22.073333,18,30.258644
-18.028947,20,30.299105
14.748148,20,30.336033
12.35,20,30.374161
-11.32,14,30.402849
15.918857,20,30.44281
11.9725,20,30.482528
1.805357,20,30.523747
-10.997667,20,30.563574
23.499833,16,30.596323
-57.2045,14,30.620877
-12.04875,20,30.660182
-7.03,1,30.66149
-75.12,20,30.7003
3.8035,20,30.739288
3.393333,20,30.777727
-22.87,20,30.817778
0.74,20,30.856243
-7.4,20,30.894028
-15.097143,20,30.935293
2.634667,20,30.972004
10.5,20,31.012799
0.635789,20,31.056211
-0.74,20,31.091876
9.846667,20,31.131146
-30.093333,20,31.169841
-0.934211,20,31.207695
11.1,20,31.249141
19.555446,20,31.300606
14.360179,20,31.356834
3.381607,20,31.395134
7.227321,20,31.436322
-8.67,20,31.475049
4.932333,20,31.51281
-2.509,20,31.553984
15.690714,20,31.593772
