time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
542,10,420,-11.417224599999999,15.98,5942,0.7177549999999999,0.0005,1360,5.8072614669799805,,
543,11,424,-12.377808700000001,16.06,6013,0.7143824999999999,0.0005,1378,3.8941967487335205,,
543,11,428,-13.94974483,16.22,6093,0.7105825000000001,0.0005,1398,3.3807077407836914,,
543,11,432,-14.412386260000003,16.44,6173,0.7067825000000001,0.0005,1418,4.641098976135254,,
543,11,436,-14.04989408,16.73,6231,0.7040275000000001,0.0005,1432,5.1558380126953125,,
544,11,440,-14.236684199999997,16.95,6304,0.7005600000000001,0.0005,1450,1.8906149864196777,,
544,11,444,-13.344738839999998,16.95,6384,0.69676,0.0005,1470,3.672255516052246,,
544,11,448,-13.847554820000001,16.85,6449,0.6936725000000001,0.0005,1487,3.558366298675537,,
544,11,452,-12.984089210000002,16.91,6521,0.6902525,0.0005,1505,5.698655605316162,,
544,12,456,-14.48482,16.71,6578,0.6875450000000001,0.0005,1519,3.8795738220214844,,
544,12,460,-13.44398068,16.67,6639,0.6846475000000001,0.0005,1534,2.944075584411621,,
544,12,464,-11.77627617,16.56,6698,0.6818450000000001,0.0005,1549,4.910843372344971,,
545,12,468,-12.398983260000001,16.52,6756,0.67909,0.0005,1563,4.314669609069824,,
544,12,472,-14.12369993,16.69,6836,0.6752900000000002,0.0005,1583,5.395723342895508,,
544,12,476,-14.047761279999998,16.41,6884,0.6730099999999999,0.0005,1595,3.0797762870788574,,
544,12,480,-13.458164779999999,16.73,6953,0.6697325000000002,0.0005,1613,3.2807602882385254,,
544,12,484,-13.360475999999998,16.94,7027,0.6662175,0.0005,1631,5.911388874053955,,
544,13,488,-12.261650099999997,17.08,7103,0.6626075000000001,0.0005,1650,3.1936898231506348,,
544,13,492,-10.345795469999999,17.38,7181,0.6589025000000001,0.0005,1670,4.535480499267578,,
544,13,496,-10.628090960000002,17.47,7241,0.6560525000000001,0.0005,1685,5.312143802642822,,
544,13,500,-10.362640240000001,17.51,7321,0.6522525,0.0005,1705,6.475716590881348,,
544,13,504,-11.083242320000002,17.06,7356,0.65059,0.0005,1713,5.103570938110352,,
544,13,508,-12.959093129999996,17.02,7420,0.6475500000000001,0.0005,1729,5.012422561645508,,
544,13,512,-12.591832669999999,16.91,7479,0.6447474999999999,0.0005,1744,2.9639649391174316,,
545,13,516,-10.130751120000003,16.78,7544,0.6416599999999999,0.0005,1760,2.7401750087738037,,
545,13,520,-11.783628689999999,16.64,7606,0.6387149999999999,0.0005,1776,5.19150972366333,,
545,14,524,-12.50224316,16.36,7649,0.6366725,0.0005,1787,3.297441244125366,,
544,14,528,-10.27056152,16.08,7701,0.6342025,0.0005,1800,3.0717945098876953,,
545,14,532,-12.542238419999999,16.08,7781,0.6304025000000001,0.0005,1820,3.0438778400421143,,
545,14,536,-14.549268320000001,16.12,7843,0.6274575,0.0005,1835,2.167503833770752,,
545,14,540,-15.810907730000004,16.13,7917,0.6239425,0.0005,1854,3.266071319580078,,
545,14,544,-16.088250799999997,15.73,7957,0.6220424999999999,0.0005,1864,4.540395736694336,,
545,14,548,-15.790816620000003,15.88,8037,0.6182425,0.0005,1884,3.3873448371887207,,
545,14,552,-15.536408400000001,15.9,8111,0.6147275,0.0005,1902,3.2100167274475098,,
545,14,556,-14.215532599999996,15.97,8175,0.6116875000000002,0.0005,1918,3.977705240249634,,
545,15,560,-14.01651482,16.01,8240,0.6085999999999998,0.0005,1934,3.229410171508789,,
545,15,564,-15.234566949999998,15.84,8282,0.6066050000000001,0.0005,1945,3.8206472396850586,,
545,15,568,-14.053474569999997,16.06,8362,0.6028049999999999,0.0005,1965,3.4133787155151367,,
546,15,572,-12.646537330000001,15.76,8412,0.6004300000000002,0.0005,1977,3.8902859687805176,,
545,15,576,-14.190506339999999,16.08,8492,0.59663,0.0005,1997,5.121885299682617,,
545,15,580,-13.952443920000002,16.08,8561,0.5933525,0.0005,2015,3.655510902404785,,
545,15,584,-15.170477829999998,16.06,8633,0.5899325,0.0005,2033,2.518887996673584,,
545,15,588,-15.512644200000002,15.78,8681,0.5876525,0.0005,2045,4.792605400085449,,
545,15,592,-15.906047430000001,15.49,8730,0.5853250000000001,0.0005,2057,2.823293685913086,,
545,16,596,-16.162243680000003,15.64,8805,0.5817625,0.0005,2076,3.598562240600586,,
545,16,600,-16.11097746,15.64,8885,0.5779625000000002,0.0005,2096,4.200791835784912,,
545,16,604,-15.980453630000005,16.09,8965,0.5741624999999999,0.0005,2116,5.475028991699219,,
545,16,608,-14.582104009999998,16.1,9030,0.5710750000000001,0.0005,2132,3.3483214378356934,,
545,16,612,-14.67059506,16.31,9110,0.567275,0.0005,2152,2.4458415508270264,,
545,16,616,-15.239314469999997,16.33,9177,0.5640925,0.0005,2169,3.180738925933838,,
545,16,620,-15.16261086,16.51,9257,0.5602925000000001,0.0005,2189,2.765099048614502,,
545,17,624,-14.571396499999997,16.88,9337,0.5564925000000001,0.0005,2209,4.499521255493164,,
544,17,628,-16.498257470000002,17.14,9415,0.5527875,0.0005,2228,3.9076995849609375,,
544,17,632,-14.667708400000002,16.95,9476,0.54989,0.0005,2243,2.9196252822875977,,
544,17,636,-14.17511124,16.99,9542,0.5467550000000001,0.0005,2260,2.49499773979187,,
